2020-Jan-Mar,2020-Apr-Jun,2020-Jul-Sep,2020-Oct-Dec,2021-Jan-Mar,2021-Apr-Jun,2021-Jul-Sep,2021-Oct-Dec,2022-Jan-Mar,2022-Apr-Jun,2022-Jul-Sep,2022-Oct-Dec,2023-Jan-Mar,2023-Apr-Jun,2023-Jul-Sep
,0.161801525,0.154321731,0.317035876,0.156792119,0.236337571,0.236333748,0.315915825,0.33019027,0.337981188,0.381802705,0.399197393,,,
,0.153914477,0.154955485,0.316689557,0.191082657,0.236222894,0.239485169,0.336903923,0.307674349,0.391357488,0.400871494,0.43719552,,,
,0.154179211,0.154179211,0.315907486,0.3199382,0.256074029,0.235912508,0.243977525,0.307760791,0.390814655,0.393131724,0.432898159,,,
,0.154179876,0.155969543,0.154135959,0.316464467,0.171681846,0.237488428,0.243977525,0.307659195,0.39097478,0.391314187,0.403250296,,,
,0.154618094,0.154375316,0.17112916,0.339074415,0.296063929,0.269463303,0.337576952,0.307760791,0.361131545,0.39131819,0.428093818,,,
,0.154179211,0.157459645,0.153207684,0.191221319,0.269097142,0.316772465,0.336703686,0.300315317,0.355929624,0.391322906,0.391055755,,,
,0.154382161,0.154813246,0.154512742,0.348522801,0.241299019,0.312944926,0.24400443,0.3060566,0.34464173,0.363073199,0.432874209,,,
,0.154004334,0.184280486,0.158202413,0.349181914,0.240432272,0.236397759,0.31981894,0.30778231,0.356519657,0.336453122,0.397337038,,,
,0.154188385,0.154562051,0.171332572,0.154512742,0.240484983,0.236456861,0.337214649,0.300342099,0.361764537,0.332986978,0.391072211,,,
,0.155265691,0.157120542,0.171332572,0.310762184,0.240740955,0.240390467,0.194318715,0.307755009,0.356803096,0.364195257,0.432874209,,,
,0.160138017,0.154179211,0.15397671,0.317002593,0.316573647,0.236722531,0.308563913,0.307760791,0.338126591,0.36262572,,,,
,0.154181289,0.155839319,0.156638572,0.317139778,0.314198029,0.19974537,0.307760791,0.241889558,0.333565065,0.357106454,,,,
,0.15500639,0.154179211,0.153914477,0.316655157,0.241299019,0.23667021,0.415040293,0.307789506,0.28401069,0.333940483,,,,
,0.298559572,0.154451032,0.167914834,0.317021726,0.240600442,0.208429157,0.307553603,0.241851662,0.332740897,0.333527502,,,,
,0.154955485,0.154418215,0.154733829,0.312171431,0.316508664,0.236425279,0.307733023,0.307985556,0.356952269,0.357115777,,,,
,0.156373673,0.154004334,0.155082823,0.316823319,0.24052483,0.236604707,0.252471779,0.308563913,0.290227784,0.2901445,,,,
,0.154913497,0.186419495,0.316761477,0.311035423,0.240653098,0.236264114,0.241315584,0.300403895,0.377696349,0.361479125,,,,
,0.168369857,0.154179211,0.311276689,0.317314983,0.311059653,0.236456861,0.24106413,0.307831517,0.366982112,0.382096161,,,,
,0.154021757,0.154715777,0.317150044,0.316655157,0.309396586,0.208081495,0.243794409,0.307797026,0.323576493,0.367819874,,,,
,0.155822818,0.155822818,0.317025538,0.316907276,0.310773353,0.237531855,0.242054186,0.307830476,0.363272906,0.33368921,,,,
,0.15487191,0.156295142,0.311418937,0.312802368,0.238784313,0.198658176,0.246890384,0.309066798,0.368693568,0.318931794,,,,
,0.154179211,0.154955485,0.31562568,0.310797271,0.238703552,0.200675715,0.243965362,0.308324858,0.256576284,0.358027579,,,,
,0.154179211,0.155290685,0.31661084,0.317314983,0.238646961,0.205642638,0.245584999,0.307512229,0.381638931,0.375508289,,,,
,0.155280902,0.155027097,0.310625256,0.311451433,0.238720971,0.236456861,0.307804308,0.307915348,0.37940376,0.398914826,,,,
,0.155082823,0.160411211,0.15594532,0.311510706,0.307831689,0.24098272,0.30729417,0.30773644,0.398849041,,,,,
,0.156295142,0.156613104,0.317668071,0.317256123,0.316180804,0.328429826,0.300342099,0.306599176,0.378445224,,,,,
,0.170131108,0.155012701,0.311854772,0.240571717,0.316401769,0.240493302,0.307674349,0.24143532,0.377504576,,,,,
,0.154179211,0.155822818,0.316903672,0.311222468,0.239389817,0.240427906,0.369838177,0.337996575,0.390990928,,,,,
,0.154833805,0.162913632,0.310637284,0.320959706,0.211953244,0.240888629,0.308299708,0.308755655,0.3938427,,,,,
,0.155764007,0.167961172,0.316573647,0.33906355,0.155082823,0.240252775,0.308260685,0.315933394,0.381663741,,,,,
,0.155712688,0.155994622,0.316734337,0.337942248,0.349689758,0.240132465,0.307784258,0.241588978,0.405297193,,,,,
,0.155934845,0.155822818,0.317013578,0.339217234,0.156549872,0.240567519,0.248255255,0.312701898,0.404400457,,,,,
,0.154955485,0.155950092,0.319105377,0.341067598,0.240382118,0.240761226,0.237791254,0.306840415,0.390972999,,,,,
,0.154691405,0.155004221,0.316679534,0.336572446,0.319428468,0.240349319,0.24840476,0.307663644,0.381454813,,,,,
